MMSI,speed_mean,speed_std,speed_min,speed_max,speed_variance,total_distance_km,total_time_hrs,loitering_score,max_gap_hrs,total_gaps,gap_flag,position_jump_km,last_lat,last_lon,dist_from_port_km,behavioral_score,speed_consistency,VesselTypeLabel,VesselName,iso_risk_score,iso_flag,rendezvous_flag,rendezvous_risk,lstm_risk_score,lstm_flag,final_risk_score,final_flag
319086100,0.0,0.0,0.0,0.0,0.0,0.011,2.526,0.9956,0.25,0.0,0.0,0.0,33.60563,-117.88513,2.06,0.0,0.0,Pleasure,BOUNTY HUNTER,0.22326727644503463,0,0,0.0,5.034332735812401e-06,0,0.1116,0
319088400,0.0026755852842809368,0.02150850711768394,0.0,0.3,0.00046261587843146547,0.514,146.228,0.9965,21.546,6.0,1.0,0.007,25.81898,-80.12331,7.75,0.7153,0.00266068668704683,Pleasure,DAYA,0.0020065022476415395,0,0,0.0,5.735945577439539e-07,0,0.001,0
319088500,0.0,0.0,0.0,0.0,0.0,0.351,146.41,0.9976,21.552,6.0,1.0,0.002,25.78587,-80.1803,0.44,0.0,0.0,Pleasure,JUST J'S,0.016496182609671006,0,0,0.0,4.753244901977819e-07,0,0.0082,0
319094000,0.0,0.0,0.0,0.0,0.0,0.319,98.358,0.9968,21.501,4.0,1.0,0.001,26.71369,-80.0482,5.88,0.0,0.0,Pleasure,SUNCHASER,0.08143290612378029,0,0,0.0,1.0208896339984882e-06,0,0.0407,0
319095100,4.517134831460674,4.958312263268533,0.0,12.4,24.584860500079216,531.217,122.166,0.187,21.566,5.0,1.0,211.029,25.99207,-95.70743,165.98,1.5687,5.424367245224541,Tanker,NORDIC STAR,0.36402300742688165,0,1,1.0,7.564848661769325e-06,0,0.482,0
319095200,0.0035211267605633804,0.018496585197533992,0.0,0.1,0.0003421236639696325,0.955,50.454,0.9814,21.502,2.0,1.0,0.164,38.95189,-75.17912,69.48,0.9931,0.004547272775410165,Tanker,NORDIC SPACE,0.15867648962116032,0,0,0.0,1.6165893041571541e-06,0,0.0793,0
319095700,0.0011583011583011585,0.010720644008428964,0.0,0.1,0.00011493220795546408,1.674,146.249,0.9887,21.601,6.0,1.0,0.018,26.05845,-80.13662,5.12,1.0259,0.0022950724362549805,Pleasure,GRAYCLIFFS,0.01223694310024892,0,0,0.0,2.2910419098126643e-07,0,0.0061,0
319096400,0.008695652173913044,0.028810406552003037,0.0,0.1,0.0008300395256916998,0.033,2.0,0.9836,0.249,0.0,0.0,0.0,27.46489,-80.30336,1.49,0.0,0.0,Pleasure,KATHARINE II,0.22968115901913388,0,0,0.0,5.639267338892193e-06,0,0.1148,0
319097600,0.04903474903474904,0.050087469508629176,0.0,0.1,0.0025087546017778517,0.472,122.3,0.9962,21.65,5.0,1.0,0.002,26.74799,-80.05082,2.08,0.0504,0.002518647713017826,Pleasure,INTREPID,0.06278213026399415,0,0,0.0,1.8313277448703454e-06,0,0.0314,0
319098000,0.0,0.0,0.0,0.0,0.0,0.66,98.506,0.9933,21.501,4.0,1.0,0.005,26.74845,-80.05099,2.03,0.0,0.0,Pleasure,AVANTI,0.08482790067899726,0,0,0.0,9.037883038847185e-07,0,0.0424,0
319099400,4.8786885245901646,6.408945575504956,0.0,13.6,41.0745833897847,1898.152,120.804,0.0598,93.237,2.0,1.0,1865.932,26.7505,-80.04883,1.8,1.7317,7.6364195604814515,Pleasure,SAMURAI,0.7674203517214717,1,0,0.0,0.0031040450848503357,1,0.3843,0
319102400,0.029411764705882353,0.04904710963964657,0.0,0.2,0.002405618964003513,0.222,145.323,0.9985,22.65,6.0,1.0,0.003,26.75073,-80.04987,1.77,0.7345,0.02340726305138752,Pleasure,KOKOTEA,0.023179251641171406,0,0,0.0,7.158852551424602e-07,0,0.0116,0
319102700,0.021153846153846155,0.04123837191561249,0.0,0.1,0.0017006033182503785,210.563,121.137,0.3652,46.45,3.0,1.0,0.003,26.71425,-80.04833,5.82,1.7296,0.012790697674418604,Pleasure,TASIA,0.24954324292379992,0,0,0.0,4.0001491658405495e-05,0,0.1248,0
319102900,0.0003875968992248062,0.006225728063646902,0.0,0.1,3.875968992248106e-05,158.678,145.975,0.4792,21.55,6.0,1.0,0.007,25.31107,-80.28098,53.53,1.7757,0.005399492471560389,Pleasure,ANDREA 6,0.16913727703443804,0,0,0.0,7.492037357164751e-06,0,0.0846,0
319103100,6.360280373831776,5.486788392983481,0.0,12.0,30.10484686937836,185.831,50.392,0.2133,21.55,2.0,1.0,0.004,30.1858,-91.01375,27.45,1.7316,6.388873588569102,Tanker,CAJUN SUN,0.43724518868368345,0,0,0.0,8.104784883369765e-06,0,0.2186,0
319103800,3.259045226130653,5.6664113622211705,0.0,14.7,32.10821772590897,95.197,146.361,0.6059,21.553,6.0,1.0,0.001,29.60889,-95.02114,13.82,2.6401,4.373635925228131,Tanker,STOLT SINCERITY,0.4138787305241095,0,0,0.0,1.572738856752889e-05,0,0.2069,0
319104300,0.0,0.0,0.0,0.0,0.0,0.276,146.354,0.9981,21.751,6.0,1.0,0.004,26.13425,-80.11918,3.81,0.0,0.0,Pleasure,CELTIC PRIDE,0.013095166783722467,0,0,0.0,4.937027846451952e-07,0,0.0065,0
319105100,0.9733974358974359,3.4370687044789934,0.0,47.2,11.813441279308798,53.28,146.447,0.7332,21.479,6.0,1.0,0.04,27.92654,-82.44347,1.31,0.3123,0.3038198207673292,Pleasure,ULYSSES,0.33451567299602813,0,0,0.0,9.363174782122547e-05,0,0.1673,0
